date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:51	280/280	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Dec%202024%2007:16:49%20GMT	https://moodle.sdu.edu.kz/robots.txt		(from )
12:16:51	1505/1505	---M--	303	error ('See%20Other')	text/html	date:Sat,%2014%20Dec%202024%2007:16:50%20GMT	https://moodle.sdu.edu.kz/	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/index.html	(from )
12:16:51	28635/28635	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2007:16:51%20GMT	https://moodle.sdu.edu.kz/login/index.php	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/login/index.html	(from https://moodle.sdu.edu.kz/)
12:16:55	374/374	---M--	302	error ('Found')	text/html	date:Sat,%2014%20Dec%202024%2007:16:53%20GMT	http://moodle.sdu.edu.kz/pluginfile.php/1/theme_alpha/favicon16/1732004874/logo_sdu_general%20(1)%20(2).png	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/pluginfile.php/1/theme_alpha/favicon16/1732004874/logo_sdu_general%20(1)%20(2).2.delayed	(from https://moodle.sdu.edu.kz/login/index.php)
12:16:55	92442/92442	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22f95fee05194f0f60921cc6c0e4ce21e8c6e7009b%22	https://moodle.sdu.edu.kz/pluginfile.php/1/theme_alpha/favicon/1732004874/logo_sdu_general_white%20(1)%20(1).ico	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/pluginfile.php/1/theme_alpha/favicon/1732004874/logo_sdu_general_white%20(1)%20(1).ico	(from https://moodle.sdu.edu.kz/login/index.php)
12:16:55	2902/2902	---M-Z	200	added ('OK')	text/css	etag:%227ed80241bdce02d4db762e9044a0f985fcd1ffc2%22	https://moodle.sdu.edu.kz/theme/yui_combo.php?rollup/3.18.1/yui-moodlesimple-min.css	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/theme/combob48b	(from https://moodle.sdu.edu.kz/login/index.php)
12:16:58	2208159/2208159	---MCZ	200	added ('OK')	text/css	etag:%22a49e02c393ad4f3037647726f932b1c08dbcc3eb%22	https://moodle.sdu.edu.kz/theme/styles.php/alpha/1732004874_1/all	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/theme/styles.php/alpha/1732004874_1/styles.php	(from https://moodle.sdu.edu.kz/login/index.php)
12:16:59	200103/200103	---MCZ	200	added ('OK')	application/javascript	etag:%227b371d1767f6d6f2860ae2ff81e2258cb7b7f97c%22	https://moodle.sdu.edu.kz/lib/javascript.php/1732004874/lib/polyfills/polyfill.js	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/lib/javascript.php/1732004874/lib/polyfills/javascript.php	(from https://moodle.sdu.edu.kz/login/index.php)
12:16:59	272032/272032	---MCZ	200	added ('OK')	application/javascript	etag:%22323f8b6ace200c1905ed2349ff4dc46f1085d217%22	https://moodle.sdu.edu.kz/theme/yui_combo.php?rollup/3.18.1/yui-moodlesimple-min.js	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/theme/combob2dc	(from https://moodle.sdu.edu.kz/login/index.php)
12:16:59	21041/21041	---M-Z	200	added ('OK')	application/javascript	etag:%225939238dc6d85abe36274c19c371c4d6958e025b%22	https://moodle.sdu.edu.kz/lib/javascript.php/1732004874/lib/javascript-static.js	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/lib/javascript.php/1732004874/lib/javascript.php	(from https://moodle.sdu.edu.kz/login/index.php)
12:17:00	28635/28635	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2007:17:00%20GMT	https://moodle.sdu.edu.kz/login/index.php?lang=en	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/login/index9ed2.html	(from https://moodle.sdu.edu.kz/login/index.php)
12:17:01	28863/28863	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2007:17:01%20GMT	https://moodle.sdu.edu.kz/login/index.php?lang=tr	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/login/index2296.html	(from https://moodle.sdu.edu.kz/login/index.php)
12:17:02	29475/29475	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2007:17:02%20GMT	https://moodle.sdu.edu.kz/login/index.php?lang=kk	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/login/indexf59f.html	(from https://moodle.sdu.edu.kz/login/index.php)
12:17:03	31756/31756	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2007:17:03%20GMT	https://moodle.sdu.edu.kz/login/index.php?lang=ru	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/login/index2139.html	(from https://moodle.sdu.edu.kz/login/index.php)
12:17:04	380/380	---M--	302	error ('Found')	text/html	date:Sat,%2014%20Dec%202024%2007:17:04%20GMT	http://moodle.sdu.edu.kz/pluginfile.php/1/theme_alpha/customloginlogo/1732004874/logo_sdu_general%20(1)%20(2).png	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/pluginfile.php/1/theme_alpha/customloginlogo/1732004874/logo_sdu_general%20(1)%20(2).c.delayed	(from https://moodle.sdu.edu.kz/login/index.php)
12:17:05	374/374	---M--	302	error ('Found')	text/html	date:Sat,%2014%20Dec%202024%2007:17:05%20GMT	http://moodle.sdu.edu.kz/pluginfile.php/1/theme_alpha/customlogindmlogo/1732004874/SDU-1058%20(1)%20(1).jpg	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/pluginfile.php/1/theme_alpha/customlogindmlogo/1732004874/SDU-1058%20(1)%20(1).jpg	(from https://moodle.sdu.edu.kz/login/index.php)
12:17:06	1680/1680	---M--	303	error ('See%20Other')	text/html	date:Sat,%2014%20Dec%202024%2007:17:06%20GMT	https://moodle.sdu.edu.kz/login/forgot_password.php	/Users/Yukki/Desktop/moodle_copy/moodle.sdu.edu.kz/login/forgot_password.php	(from https://moodle.sdu.edu.kz/login/index.php)
